episode,algo,reward
0,Random,1513.9696290881661
1,Random,1396.2524370578888
2,Random,1135.733797829811
3,Random,856.2153698208764
4,Random,911.2863732081609
5,Random,1080.7334709704344
6,Random,896.7049801789417
7,Random,1086.634028491008
8,Random,999.9791708760872
9,Random,1287.9871375906423
10,Random,1369.8386694766828
11,Random,1512.2893880678755
12,Random,1220.0111581105712
13,Random,1403.8247811062242
14,Random,992.5560380939344
15,Random,1175.760206458895
16,Random,1131.2864063430318
17,Random,1109.2812370641818
18,Random,1468.9647088397637
19,Random,1267.5976288814093
20,Random,1128.9589329976047
21,Random,1154.7865026311617
22,Random,1008.9193754199682
23,Random,1138.225714807683
24,Random,1167.8300836743413
25,Random,762.8677494016439
26,Random,1074.2952552103573
27,Random,1255.8610562165481
28,Random,1410.6423175260877
29,Random,1000.9992359999258
30,Random,1367.1430280516684
31,Random,1416.0731452825003
32,Random,1605.8965643362185
33,Random,1485.4610879235995
34,Random,1143.7939882166452
35,Random,803.0138293416853
36,Random,988.29126908489
37,Random,1416.0760914827174
38,Random,1033.1878909804336
39,Random,1380.6674718191914
40,Random,1230.6052768817842
41,Random,1231.525207107833
42,Random,647.8274602277313
43,Random,1231.8623664238717
44,Random,982.3391697913004
45,Random,1606.6454816296384
46,Random,1241.4123024877658
47,Random,1151.318842291589
48,Random,878.3750584760007
49,Random,1202.2106427486958
50,Random,1337.052906222915
51,Random,875.3685334750412
52,Random,1162.4627730862196
53,Random,1005.7505864922507
54,Random,1432.009926399773
55,Random,1172.6284325186914
56,Random,1116.0050318064807
57,Random,1305.6342640750665
58,Random,1270.7180176249476
59,Random,1304.371129334811
60,Random,1236.9064455190648
61,Random,960.2827817461438
62,Random,1167.5748758070013
63,Random,1343.3739335836503
64,Random,1007.993248786736
65,Random,948.2856537573019
66,Random,1336.0846140764088
67,Random,1267.2096325955479
68,Random,948.8505233727635
69,Random,967.5183511923344
70,Random,1359.373566016921
71,Random,1239.3232284389105
72,Random,1227.634104224578
73,Random,1465.5147655858975
74,Random,1294.6491174284113
75,Random,1440.9190654869706
76,Random,604.477690602785
77,Random,1014.453007929659
78,Random,1371.6788559932493
79,Random,1282.9043849400718
80,Random,1450.742683560159
81,Random,1296.8828531510267
82,Random,853.2031830690285
83,Random,1207.1554929594702
84,Random,849.6282303498836
85,Random,1012.2214084305583
86,Random,709.9898039172358
87,Random,1435.7642893749721
88,Random,1042.010772473642
89,Random,1142.745861525119
90,Random,1255.8649258652472
91,Random,1133.3913322294068
92,Random,1263.2678523659386
93,Random,1414.8049612532232
94,Random,1470.8957895795459
