config_id,seeds,mean_lastN,std_lastN,episodes,n_price_bins,n_inv_bins,gamma,eps_start,eps_end,alpha_start,alpha_end
fcd53a83,3,1104.3352913748693,151.60897128380472,20000,10,8,0.99,0.4,0.05,0.005,0.001
38499c8b,3,1102.3781613079627,173.3388705375443,20000,10,8,0.97,0.4,0.05,0.005,0.001
24836c3e,3,1086.0699711386676,184.37489962579284,20000,10,10,0.97,0.4,0.05,0.005,0.001
c64fc92a,3,1077.3148393952306,165.0240976188087,20000,10,8,0.97,0.3,0.05,0.005,0.001
5c2df612,3,1043.3799720227614,150.42755943782413,20000,10,10,0.99,0.3,0.05,0.005,0.001
fb33da42,3,1040.1294242719462,206.7708627653959,20000,20,10,0.99,0.4,0.05,0.003,0.001
8ef423da,3,1039.6741179001092,210.1687656501435,20000,10,10,0.97,0.4,0.05,0.003,0.001
636013a5,3,1038.6470245099774,191.58381889340936,20000,10,8,0.99,0.4,0.05,0.003,0.001
ae339b4b,3,1034.8863130831644,164.08582483295896,20000,10,10,0.99,0.4,0.05,0.005,0.001
48c5e5c2,3,1030.3675489608477,175.80070147898755,20000,10,10,0.99,0.3,0.05,0.003,0.001
e18796a8,3,1029.2485803982581,196.95544404940662,20000,20,8,0.99,0.4,0.05,0.003,0.001
9a4b7fd3,3,1025.6339563106549,196.51823152471908,20000,30,8,0.97,0.4,0.05,0.005,0.001
640e48c5,3,1010.7067298390203,177.21245375711806,20000,10,10,0.97,0.3,0.05,0.005,0.001
f870957d,3,1008.6122077135424,173.24250590995356,20000,20,8,0.97,0.4,0.05,0.003,0.001
5bdfcb06,3,994.9774002185909,179.38915249950287,20000,20,10,0.97,0.4,0.05,0.005,0.001
00e64aec,3,982.9988248086764,186.17549775156462,20000,20,8,0.97,0.4,0.05,0.005,0.001
0ce47ff2,3,973.9685839148195,173.7003143157124,20000,20,8,0.99,0.4,0.05,0.005,0.001
feb413ba,3,972.7269495443088,197.8819896562055,20000,20,10,0.99,0.4,0.05,0.005,0.001
5b162d52,3,956.4439377457829,170.44931653274116,20000,10,8,0.97,0.4,0.05,0.003,0.001
2f1e1d19,3,928.0022004113589,145.30231837526415,20000,10,8,0.99,0.3,0.05,0.005,0.001
bd7d3c70,3,927.0253739356314,187.33682797020654,20000,10,10,0.99,0.4,0.05,0.003,0.001
b5b5de38,3,919.1655310064983,197.53614362401547,20000,30,10,0.99,0.4,0.05,0.003,0.001
da465f6f,3,900.9720839795021,178.39428024351832,20000,20,8,0.97,0.3,0.05,0.005,0.001
832d44c4,3,900.587291253525,189.53040741510873,20000,30,10,0.97,0.4,0.05,0.005,0.001
ae965b38,3,898.2188182533758,210.2852119720609,20000,30,10,0.99,0.4,0.05,0.005,0.001
d992b31d,3,894.9743128078612,194.7904186960545,20000,30,8,0.97,0.4,0.05,0.003,0.001
665d1953,3,893.9431643431717,174.14153248876116,20000,20,10,0.99,0.3,0.05,0.005,0.001
e9ed3691,3,893.5242888394561,193.1251329604236,20000,30,8,0.99,0.3,0.05,0.005,0.001
3a802818,3,893.2784601834888,202.70424175962614,20000,30,8,0.99,0.4,0.05,0.003,0.001
1b9251b4,3,893.2358551031372,186.16048433603555,20000,20,8,0.97,0.3,0.05,0.003,0.001
fdd504b4,3,884.6002376741127,200.22285560137212,20000,20,10,0.97,0.4,0.05,0.003,0.001
739d7310,3,883.1684415989389,142.8673388250429,20000,10,8,0.99,0.3,0.05,0.003,0.001
b7523faa,3,870.3951513955976,156.56172457221683,20000,10,10,0.97,0.3,0.05,0.003,0.001
7efdc6eb,3,867.2588250383606,183.2464604879774,20000,20,10,0.97,0.3,0.05,0.005,0.001
78d4cd84,3,850.8403382817934,205.92916728577327,20000,30,10,0.97,0.4,0.05,0.003,0.001
3c4742b0,3,847.8717510283665,193.0485664040236,20000,30,8,0.99,0.4,0.05,0.005,0.001
9e2aa5f5,3,846.8866960198455,149.52373381372107,20000,10,8,0.97,0.3,0.05,0.003,0.001
dae68f1e,3,843.4831664784688,167.8378302592216,20000,30,8,0.99,0.3,0.05,0.003,0.001
1a70c7c7,3,839.992756257358,197.53117848993634,20000,30,10,0.97,0.3,0.05,0.003,0.001
68d6abd8,3,829.324649367532,191.5351104372346,20000,30,8,0.97,0.3,0.05,0.003,0.001
c35d4d16,3,822.7528986993915,158.09138214758585,20000,30,10,0.97,0.3,0.05,0.005,0.001
cede9992,3,819.5565127654467,164.48665378821389,20000,30,10,0.99,0.3,0.05,0.003,0.001
6b0afcde,3,805.9528973043625,177.63848320017996,20000,20,8,0.99,0.3,0.05,0.005,0.001
d61a4300,3,801.8442763702907,164.31927877203347,20000,20,8,0.99,0.3,0.05,0.003,0.001
f697be02,3,795.7267663999392,185.0053899836399,20000,20,10,0.99,0.3,0.05,0.003,0.001
3913283c,3,793.1606469779523,159.75787734556138,20000,30,10,0.99,0.3,0.05,0.005,0.001
f6c4ca10,3,783.7575033946076,186.04518399772667,20000,20,10,0.97,0.3,0.05,0.003,0.001
5fa4f792,3,778.8534395520013,181.8709307107121,20000,30,8,0.97,0.3,0.05,0.005,0.001
