config_id,seeds,mean_lastN,std_lastN,episodes,n_price_bins,n_inv_bins,gamma,eps_start,eps_end,alpha_start,alpha_end
bb8b8dc1,3,1723.9689882585892,58.4465584882887,50000,10,8,0.99,0.4,0.05,0.003,0.001
ccda1ca8,3,1712.3129001169552,58.26539150295482,50000,10,12,0.97,0.4,0.05,0.003,0.001
e70994b8,3,1709.7395786673844,67.35164098413561,50000,10,8,0.99,0.4,0.05,0.005,0.001
645b65e1,3,1706.4962857285361,69.36377118172169,50000,10,12,0.97,0.4,0.05,0.005,0.001
4e8c2a19,3,1705.3289402153835,59.888818353542455,50000,10,10,0.99,0.4,0.05,0.005,0.001
51031c2d,3,1703.5959266471427,61.71496310522826,50000,10,8,0.97,0.4,0.05,0.005,0.001
066023ca,3,1702.3644414129303,58.03110528884714,50000,10,12,0.99,0.4,0.05,0.005,0.001
f5b1ee4b,3,1699.5651611365029,60.975374193306514,50000,10,10,0.97,0.4,0.05,0.005,0.001
b2cfae66,3,1695.417239465759,53.97760104911067,50000,10,10,0.99,0.4,0.05,0.003,0.001
a7153625,3,1692.03903711944,56.527769613095245,50000,10,8,0.97,0.3,0.05,0.005,0.001
4822c4da,3,1686.5135955972098,55.2187886760746,50000,10,10,0.97,0.3,0.05,0.005,0.001
75d2b8df,3,1683.1904318075503,52.15631861827638,50000,10,12,0.99,0.4,0.05,0.003,0.001
3ce69799,3,1680.2826267362825,57.74356225346514,50000,10,8,0.97,0.4,0.05,0.003,0.001
39ffd81f,3,1680.1029015810154,58.718285712608726,50000,10,8,0.99,0.3,0.05,0.005,0.001
33c7ef2f,3,1676.859255787714,49.909040090093214,50000,10,10,0.97,0.4,0.05,0.003,0.001
6c2c0e61,3,1676.1062265269027,58.93639925442097,50000,10,10,0.97,0.3,0.05,0.003,0.001
546a3efd,3,1668.4864341576865,59.08492836154037,50000,10,8,0.99,0.3,0.05,0.003,0.001
bde43fec,3,1666.832733991823,54.31265576076294,50000,10,12,0.99,0.3,0.05,0.003,0.001
a9eca33d,3,1662.3203976102295,53.85186168361039,50000,10,8,0.97,0.3,0.05,0.003,0.001
2aca0e97,3,1661.0364936654157,53.857060621748246,50000,10,12,0.97,0.3,0.05,0.003,0.001
e3b5689e,3,1659.6042757059993,47.174082186564696,50000,10,10,0.99,0.3,0.05,0.003,0.001
ef69bb15,3,1658.6809596780304,60.121021306214004,50000,10,10,0.99,0.3,0.05,0.005,0.001
c6b793b5,3,1648.4913208372964,49.460510605039474,50000,10,12,0.97,0.3,0.05,0.005,0.001
1fa3967b,3,1646.159155389829,53.76750696364824,50000,10,12,0.99,0.3,0.05,0.005,0.001
172b072a,3,1623.477107071222,63.076853610146976,50000,20,10,0.99,0.4,0.05,0.003,0.001
a8c0f450,3,1622.2317375970126,64.12232393779048,50000,20,12,0.97,0.4,0.05,0.005,0.001
545cea54,3,1611.5158846145985,65.74895978646701,50000,20,8,0.99,0.4,0.05,0.005,0.001
8b20e614,3,1599.5507918345713,57.67030939546009,50000,20,10,0.99,0.4,0.05,0.005,0.001
6f2f5aff,3,1598.5859779264736,58.64127564990904,50000,20,8,0.97,0.4,0.05,0.003,0.001
381b41d8,3,1597.9988655993309,56.57524092631593,50000,20,10,0.97,0.4,0.05,0.003,0.001
e105851e,3,1594.868692080364,61.56391675539833,50000,30,10,0.99,0.4,0.05,0.005,0.001
a680ca76,3,1585.9618233730755,60.49918544076121,50000,20,12,0.99,0.4,0.05,0.005,0.001
9c05aba5,3,1583.754036431185,59.68425529563035,50000,20,8,0.97,0.4,0.05,0.005,0.001
be79cff9,3,1582.019705472829,51.60490885153567,50000,20,12,0.97,0.3,0.05,0.003,0.001
0bec778b,3,1577.415887215534,60.894991657367655,50000,20,8,0.99,0.4,0.05,0.003,0.001
268da573,3,1573.6500277280495,57.52306142887908,50000,30,12,0.99,0.4,0.05,0.003,0.001
fb317879,3,1571.9885938408431,62.961537511193285,50000,20,12,0.99,0.4,0.05,0.003,0.001
64a7c2c9,3,1565.0887046327382,51.712353796136505,50000,20,10,0.97,0.3,0.05,0.005,0.001
8bd79345,3,1560.2040371746023,61.97480630362577,50000,30,12,0.99,0.4,0.05,0.005,0.001
1f1dfb7e,3,1558.9319739528016,56.42611730691808,50000,20,12,0.99,0.3,0.05,0.005,0.001
a4583768,3,1558.5250714645301,67.23136524937145,50000,30,10,0.97,0.4,0.05,0.003,0.001
9181fe2c,3,1557.9854927496142,56.697997453001626,50000,20,12,0.97,0.4,0.05,0.003,0.001
bb2141dd,3,1556.106968282728,60.77671331760163,50000,30,12,0.97,0.4,0.05,0.003,0.001
30582139,3,1555.9035083873803,55.74287410103409,50000,20,10,0.97,0.3,0.05,0.003,0.001
f9fe857c,3,1553.236281199331,54.70875248460811,50000,20,12,0.97,0.3,0.05,0.005,0.001
42dd747e,3,1552.00393485331,64.5366528617986,50000,20,10,0.99,0.3,0.05,0.005,0.001
31d3eab9,3,1551.510467433902,68.48281864049797,50000,30,10,0.99,0.4,0.05,0.003,0.001
809ce918,3,1550.7514332564667,57.87219140350194,50000,20,10,0.97,0.4,0.05,0.005,0.001
f1ef4ba0,3,1549.5557863923248,63.25232063342011,50000,20,8,0.99,0.3,0.05,0.005,0.001
6a877e2f,3,1548.6740262581582,57.73710091229925,50000,20,12,0.99,0.3,0.05,0.003,0.001
a93d4e59,3,1548.6080338203217,51.074996262578615,50000,20,8,0.99,0.3,0.05,0.003,0.001
af9204f2,3,1546.6586220732527,59.25187598518596,50000,20,8,0.97,0.3,0.05,0.005,0.001
2b639722,3,1535.1349418313578,53.01904111841683,50000,20,8,0.97,0.3,0.05,0.003,0.001
a7c13a4d,3,1532.1465454689194,72.14323035482464,50000,30,8,0.97,0.4,0.05,0.003,0.001
e52af449,3,1531.7759976991201,57.438825832613354,50000,30,12,0.99,0.3,0.05,0.005,0.001
5e92a72b,3,1531.4843309169394,57.33696572516209,50000,30,8,0.99,0.4,0.05,0.005,0.001
40482a5c,3,1529.7815673454327,52.43902824094865,50000,20,10,0.99,0.3,0.05,0.003,0.001
3927c9e8,3,1525.8263679431782,58.129402188579604,50000,30,8,0.97,0.4,0.05,0.005,0.001
b53d0284,3,1524.4323407820518,53.03848523553029,50000,30,10,0.99,0.3,0.05,0.003,0.001
044a6537,3,1522.451886074361,60.40450603427559,50000,30,8,0.99,0.4,0.05,0.003,0.001
42d4f5b6,3,1520.184349780379,60.80959127745567,50000,30,12,0.97,0.4,0.05,0.005,0.001
2b469a1e,3,1519.8967593199438,51.60364178262748,50000,30,10,0.97,0.3,0.05,0.003,0.001
5a09a36a,3,1517.908176892823,61.351857002987764,50000,30,10,0.97,0.4,0.05,0.005,0.001
3b9e7a30,3,1515.467535672589,52.631397493990164,50000,30,12,0.97,0.3,0.05,0.003,0.001
fc0b0a2a,3,1513.5253969032249,51.17431708569077,50000,30,10,0.97,0.3,0.05,0.005,0.001
27db00b9,3,1511.7496823519741,61.96794985819859,50000,30,12,0.97,0.3,0.05,0.005,0.001
a7ba4cc9,3,1511.5545436785007,53.8562782798162,50000,30,8,0.97,0.3,0.05,0.003,0.001
33e09ff4,3,1510.7282878097421,54.38827042959898,50000,30,8,0.97,0.3,0.05,0.005,0.001
30e5efaf,3,1502.3636638800256,54.31212701147012,50000,30,10,0.99,0.3,0.05,0.005,0.001
d47186d7,3,1500.0891183491804,56.63789067421413,50000,30,8,0.99,0.3,0.05,0.003,0.001
e3b5eb36,3,1499.9745883297699,57.79921906768593,50000,30,8,0.99,0.3,0.05,0.005,0.001
76d12918,3,1494.8671721424118,53.01856989138412,50000,30,12,0.99,0.3,0.05,0.003,0.001
