config_id,seeds,mean_lastN,std_lastN,episodes,n_price_bins,n_inv_bins,gamma,eps_start,eps_end,alpha_start,alpha_end
51031c2d,3,1731.2270112519052,57.21434898980934,50000,10,8,0.97,0.4,0.05,0.005,0.001
4e8c2a19,3,1695.6050842370921,53.89162739846473,50000,10,10,0.99,0.4,0.05,0.005,0.001
bb8b8dc1,3,1692.1272206151552,52.56316275359715,50000,10,8,0.99,0.4,0.05,0.003,0.001
066023ca,3,1691.6441473483412,56.24020939717075,50000,10,12,0.99,0.4,0.05,0.005,0.001
39ffd81f,3,1691.5008914997027,50.761922838783796,50000,10,8,0.99,0.3,0.05,0.005,0.001
75d2b8df,3,1687.9192158516244,55.092070913251604,50000,10,12,0.99,0.4,0.05,0.003,0.001
a7153625,3,1685.6958303500612,58.30348729205392,50000,10,8,0.97,0.3,0.05,0.005,0.001
e70994b8,3,1683.3045193903454,52.17077418968839,50000,10,8,0.99,0.4,0.05,0.005,0.001
ccda1ca8,3,1681.465851218503,55.130386178519935,50000,10,12,0.97,0.4,0.05,0.003,0.001
c6b793b5,3,1679.7233651101851,56.72320906554061,50000,10,12,0.97,0.3,0.05,0.005,0.001
b2cfae66,3,1679.5712218443666,55.78973719528104,50000,10,10,0.99,0.4,0.05,0.003,0.001
645b65e1,3,1679.1075058643873,66.75746350820447,50000,10,12,0.97,0.4,0.05,0.005,0.001
3ce69799,3,1678.770703420599,48.89134435207698,50000,10,8,0.97,0.4,0.05,0.003,0.001
f5b1ee4b,3,1674.502491346705,60.588121554777494,50000,10,10,0.97,0.4,0.05,0.005,0.001
546a3efd,3,1664.5575497729358,48.89937825403813,50000,10,8,0.99,0.3,0.05,0.003,0.001
33c7ef2f,3,1662.807620195894,51.29489156051435,50000,10,10,0.97,0.4,0.05,0.003,0.001
4822c4da,3,1659.6755161395338,53.840908598012184,50000,10,10,0.97,0.3,0.05,0.005,0.001
bde43fec,3,1657.973958390311,48.125229449449,50000,10,12,0.99,0.3,0.05,0.003,0.001
a9eca33d,3,1654.8938218060023,45.64094956669668,50000,10,8,0.97,0.3,0.05,0.003,0.001
1fa3967b,3,1652.0304067395093,51.654730563269574,50000,10,12,0.99,0.3,0.05,0.005,0.001
2aca0e97,3,1650.973085557787,51.5617688745751,50000,10,12,0.97,0.3,0.05,0.003,0.001
ef69bb15,3,1650.7256553494517,54.850417480557475,50000,10,10,0.99,0.3,0.05,0.005,0.001
6c2c0e61,3,1645.662727786037,50.53587234634642,50000,10,10,0.97,0.3,0.05,0.003,0.001
e3b5689e,3,1629.973596063189,52.499976239030396,50000,10,10,0.99,0.3,0.05,0.003,0.001
809ce918,3,1620.2120567632276,71.09975918757534,50000,20,10,0.97,0.4,0.05,0.005,0.001
6f2f5aff,3,1619.6704337776102,61.70602708797943,50000,20,8,0.97,0.4,0.05,0.003,0.001
9181fe2c,3,1619.3223460302745,60.55815614065286,50000,20,12,0.97,0.4,0.05,0.003,0.001
172b072a,3,1601.9103014086622,59.725578096829366,50000,20,10,0.99,0.4,0.05,0.003,0.001
545cea54,3,1594.1661045314215,59.24599541099926,50000,20,8,0.99,0.4,0.05,0.005,0.001
a93d4e59,3,1593.7068884786129,62.66468677495062,50000,20,8,0.99,0.3,0.05,0.003,0.001
381b41d8,3,1590.4538697373564,64.45242057722665,50000,20,10,0.97,0.4,0.05,0.003,0.001
a680ca76,3,1589.344500629388,60.3919291834228,50000,20,12,0.99,0.4,0.05,0.005,0.001
8b20e614,3,1588.2580401125979,67.99758088937035,50000,20,10,0.99,0.4,0.05,0.005,0.001
af9204f2,3,1581.6777412492465,59.345098588680266,50000,20,8,0.97,0.3,0.05,0.005,0.001
fb317879,3,1581.3291691541342,58.304561796000065,50000,20,12,0.99,0.4,0.05,0.003,0.001
a8c0f450,3,1576.740405062952,60.79308364194057,50000,20,12,0.97,0.4,0.05,0.005,0.001
0bec778b,3,1571.571470565302,52.746977373539295,50000,20,8,0.99,0.4,0.05,0.003,0.001
9c05aba5,3,1564.8759238009834,56.11105138059614,50000,20,8,0.97,0.4,0.05,0.005,0.001
5e92a72b,3,1564.455580668733,55.16747540075547,50000,30,8,0.99,0.4,0.05,0.005,0.001
268da573,3,1562.5689491672044,57.923133186808116,50000,30,12,0.99,0.4,0.05,0.003,0.001
42dd747e,3,1558.4961334525924,56.352906954412184,50000,20,10,0.99,0.3,0.05,0.005,0.001
